Document,Gemini,GPT,Summary_Vietnamese,Summary_English
[1]_71_QD-TTg_m_639610.doc,Quyết định số 71/QĐ-TTg của Thủ tướng Chính phủ về việc giải thể Ban Chỉ đạo đổi mới giáo dục đại học (được thành lập theo Quyết định số 170/QĐ-TTg ngày 06/02/2006). Quyết định có hiệu lực kể từ ngày ký và giao trách nhiệm thi hành cho Bộ trưởng Bộ Giáo dục và Đào tạo,"Quyết định về việc giải thể Ban Chỉ đạo đổi mới giáo dục đại học được thành lập trước đó, quy định hiệu lực thi hành từ ngày ký và giao trách nhiệm cho các bộ, cơ quan, tổ chức, cá nhân liên quan thực hiện.","Quyết định số 71/QĐ-TTg của Thủ tướng Chính phủ về việc giải thể Ban Chỉ đạo đổi mới giáo dục đại học (thành lập theo Quyết định số 170/QĐ-TTg ngày 06/02/2006), có hiệu lực kể từ ngày ký, giao Bộ trưởng Bộ Giáo dục và Đào tạo cùng các bộ, cơ quan, tổ chức, cá nhân liên quan thực hiện.","Decision No. 71/QD-TTg issued by the Prime Minister dissolves the Steering Committee for Higher Education Reform (established under Decision No. 170/QD-TTg dated February 6, 2006), effective from the date of signing, assigning the Minister of Education and Training along with relevant ministries, agencies, organizations, and individuals to implement it."
[2]_216_2025_QH15_m_436359.doc,Nghị quyết quy định việc kéo dài thời hạn miễn thuế sử dụng đất nông nghiệp theo các Nghị quyết trước đó của Quốc hội đến hết ngày 31/12/2030. Văn bản có hiệu lực thi hành từ ngày 01/01/2026 và giao Chính phủ quy định chi tiết,"Nghị quyết quy định kéo dài thời hạn miễn thuế sử dụng đất nông nghiệp đến hết ngày 31/12/2030, có hiệu lực từ ngày 01/01/2026 và giao Chính phủ quy định chi tiết, hướng dẫn thi hành.","Nghị quyết quy định kéo dài thời hạn miễn thuế sử dụng đất nông nghiệp theo các Nghị quyết trước đó đến hết ngày 31/12/2030, có hiệu lực từ ngày 01/01/2026 và giao Chính phủ quy định chi tiết, hướng dẫn thi hành.","The resolution extends the agricultural land use tax exemption period under previous resolutions until December 31, 2030, effective from January 1, 2026, and entrusts the Government with detailed regulations and guidance for implementation."
[3]_194_2025_QH15_m_655386.doc,Nghị quyết quyết định việc xem xét sửa đổi,"Nghị quyết quyết định việc xem xét sửa đổi, bổ sung một số điều của Hiến pháp năm 2013 nhằm tinh gọn tổ chức bộ máy hệ thống chính trị, đồng thời thành lập Ủy ban dự thảo để xây dựng nội dung sửa đổi và trình Quốc hội xem xét, thông qua.","Nghị quyết quyết định xem xét sửa đổi, bổ sung một số điều của Hiến pháp năm 2013 để tinh gọn tổ chức bộ máy hệ thống chính trị và thành lập Ủy ban dự thảo nhằm xây dựng nội dung sửa đổi, trình Quốc hội xem xét, thông qua.",The resolution decides to review and amend certain provisions of the 2013 Constitution to streamline the organization of the political system and establishes a Drafting Committee to develop the amendments for submission to the National Assembly for consideration and approval.
[4]_210_2025_QH15_m_662911.doc,Nghị quyết quy định số lượng thành viên Ủy ban Thường vụ Quốc hội khóa XV là 20 người (gồm Chủ tịch,"Nghị quyết quy định số lượng thành viên của Ủy ban Thường vụ Quốc hội khóa XV là 20 người, bao gồm Chủ tịch, các Phó Chủ tịch và các Ủy viên, đồng thời bãi bỏ nghị quyết trước đó và có hiệu lực từ khi được thông qua.","Nghị quyết quy định Ủy ban Thường vụ Quốc hội khóa XV có 20 thành viên, gồm Chủ tịch, các Phó Chủ tịch và các Ủy viên, đồng thời bãi bỏ nghị quyết trước đó, có hiệu lực từ khi được thông qua.","The resolution stipulates that the 15th National Assembly Standing Committee has 20 members, including the Chairman, Vice Chairmen, and Members, repeals the previous resolution, and takes effect upon adoption."
[5]_12_CD-KBNN_m_672514.doc,Công điện yêu cầu Giám đốc Kho bạc Nhà nước (KBNN) các khu vực chỉ đạo hoàn thành 100% việc mở tài khoản và thanh toán lương cho cán bộ,"Công điện yêu cầu các đơn vị Kho bạc Nhà nước khu vực chỉ đạo phối hợp với các đơn vị cấp xã hoàn thành việc mở tài khoản và thanh toán lương qua Kho bạc trước ngày 15/9/2025, đồng thời xử lý các vướng mắc liên quan và báo cáo tình hình thực hiện về Bộ Tài chính.","Công điện yêu cầu Giám đốc Kho bạc Nhà nước các khu vực chỉ đạo phối hợp với các đơn vị cấp xã hoàn thành 100% việc mở tài khoản và thanh toán lương qua Kho bạc trước ngày 15/9/2025, xử lý các vướng mắc liên quan và báo cáo tình hình thực hiện về Bộ Tài chính.","The dispatch instructs the Directors of regional State Treasuries to coordinate with local units to complete 100% of salary account openings and payments through the Treasury by September 15, 2025, resolve related issues, and report implementation status to the Ministry of Finance."
[6]_82_QD-TTg_m_639788.doc,Quyết định bãi bỏ hoàn toàn Quyết định số 2188/QĐ-TTg ngày 15/11/2016 của Thủ tướng Chính phủ về việc thanh toán thuốc kháng vi-rút HIV mua sắm tập trung cấp quốc gia từ quỹ bảo hiểm y tế và hỗ trợ người sử dụng thuốc. Quyết định có hiệu lực từ ngày 13/01/2025; Bộ Y tế chịu trách nhiệm về nội dung đề xuất và bảo đảm thực hiện đúng quy định.,"Quyết định bãi bỏ Quyết định số 2188/QĐ-TTg năm 2016 về thanh toán thuốc kháng vi-rút HIV từ nguồn quỹ bảo hiểm y tế và hỗ trợ người sử dụng, đồng thời quy định hiệu lực thi hành từ ngày ký và giao các cơ quan liên quan chịu trách nhiệm thực hiện.","Quyết định bãi bỏ hoàn toàn Quyết định số 2188/QĐ-TTg ngày 15/11/2016 về thanh toán thuốc kháng vi-rút HIV từ nguồn quỹ bảo hiểm y tế và hỗ trợ người sử dụng, có hiệu lực từ ngày 13/01/2025; Bộ Y tế cùng các cơ quan liên quan chịu trách nhiệm đề xuất và thực hiện đúng quy định.","The decision fully abolishes Decision No. 2188/QD-TTg dated November 15, 2016, on the payment of HIV antiviral drugs from the health insurance fund and user support, effective from January 13, 2025; the Ministry of Health and relevant agencies are responsible for proposing and ensuring proper implementation."
[7]_204_2025_QH15_m_662685.doc,Nghị quyết quy định giảm 2% thuế suất thuế giá trị gia tăng (xuống còn 8%) đối với các nhóm hàng hóa,"Nghị quyết quy định giảm 2% thuế giá trị gia tăng đối với một số nhóm hàng hóa, dịch vụ xuống còn 8%, trừ các lĩnh vực như viễn thông, tài chính, ngân hàng, bảo hiểm, bất động sản và một số ngành khác; áp dụng từ ngày 01/7/2025 đến hết ngày 31/12/2026 và giao Chính phủ hướng dẫn chi tiết.","Nghị quyết giảm 2% thuế giá trị gia tăng xuống còn 8% đối với một số nhóm hàng hóa, dịch vụ, trừ viễn thông, tài chính, ngân hàng, bảo hiểm, bất động sản và một số ngành khác; áp dụng từ 01/7/2025 đến 31/12/2026, giao Chính phủ hướng dẫn chi tiết.","The resolution reduces the value-added tax by 2% to 8% for certain goods and services, excluding telecommunications, finance, banking, insurance, real estate, and some other sectors; effective from July 1, 2025, to December 31, 2026, with the Government tasked to provide detailed guidance."
[8]_28_NQ-CP_m_695184.doc,Chính phủ thống nhất thông qua dự thảo Luật sửa đổi,"Nghị quyết thống nhất thông qua dự thảo Luật sửa đổi, bổ sung một số điều của Luật Thi đua, khen thưởng; giao Bộ Nội vụ hoàn thiện hồ sơ, trình Quốc hội và phối hợp với các cơ quan liên quan trong quá trình thẩm tra, giải trình.","Chính phủ thống nhất thông qua dự thảo Luật sửa đổi, bổ sung một số điều của Luật Thi đua, khen thưởng và giao Bộ Nội vụ hoàn thiện hồ sơ, trình Quốc hội, đồng thời phối hợp với các cơ quan liên quan trong quá trình thẩm tra và giải trình.","The Government agreed to approve the draft Law amending and supplementing certain provisions of the Law on Emulation and Commendation, assigning the Ministry of Home Affairs to complete the documentation, submit it to the National Assembly, and coordinate with relevant agencies during the appraisal and explanation process."
[9]_199_2025_QH15_m_657681.doc,"Nghị quyết quy định việc rút ngắn nhiệm kỳ Quốc hội khóa XV và Hội đồng nhân dân các cấp nhiệm kỳ 2021-2026. Đồng thời, ấn định ngày bầu cử đại biểu Quốc hội khóa XVI và đại biểu Hội đồng nhân dân các cấp nhiệm kỳ 2026-2031 vào Chủ nhật, ngày 15/3/2026; quy định thời hạn triệu tập kỳ họp thứ nhất của Quốc hội và Hội đồng nhân dân khóa mới.","Nghị quyết quy định rút ngắn nhiệm kỳ Quốc hội khóa XV và Hội đồng nhân dân các cấp nhiệm kỳ 2021–2026, đồng thời ấn định ngày bầu cử đại biểu Quốc hội khóa XVI và Hội đồng nhân dân các cấp nhiệm kỳ 2026–2031 vào ngày 15/3/2026 và giao các cơ quan liên quan tổ chức thực hiện.","Nghị quyết quy định rút ngắn nhiệm kỳ Quốc hội khóa XV và Hội đồng nhân dân các cấp nhiệm kỳ 2021–2026, ấn định ngày bầu cử đại biểu Quốc hội khóa XVI và Hội đồng nhân dân các cấp nhiệm kỳ 2026–2031 vào Chủ nhật, ngày 15/3/2026, và quy định thời hạn triệu tập kỳ họp thứ nhất của Quốc hội và Hội đồng nhân dân khóa mới, đồng thời giao các cơ quan liên quan tổ chức thực hiện.","The resolution stipulates shortening the term of the 15th National Assembly and People's Councils at all levels for the 2021–2026 term, sets the election date for deputies of the 16th National Assembly and People's Councils for the 2026–2031 term on Sunday, March 15, 2026, defines the timeframe for convening the first session of the new Assembly and Councils, and assigns relevant agencies to implement it."
[10]_108_2025_UBTVQH15_m_679162.doc,Nghị quyết quy định cụ thể 03 tiêu chuẩn,"Nghị quyết quy định tiêu chuẩn, điều kiện thành lập Ban Dân tộc của Hội đồng nhân dân cấp tỉnh dựa trên các tiêu chí về dân số dân tộc thiểu số và đặc điểm địa bàn; đồng thời bãi bỏ nghị quyết trước đó và giao các cơ quan liên quan tổ chức thực hiện.","Nghị quyết quy định 03 tiêu chuẩn và điều kiện thành lập Ban Dân tộc của Hội đồng nhân dân cấp tỉnh dựa trên dân số dân tộc thiểu số và đặc điểm địa bàn, bãi bỏ nghị quyết trước đó, đồng thời giao các cơ quan liên quan tổ chức thực hiện.","The resolution specifies three criteria and conditions for establishing the Ethnic Affairs Committee of the provincial People's Council based on the minority population and local characteristics, repeals the previous resolution, and assigns relevant agencies to implement it."
