url,Gemini,GPT,Summary_Vietnamese,Summary_English
https://www.youtube.com/watch?v=qVh7U6CbLUE,"Văn bản thông tin các quy định mới về bảo hiểm thất nghiệp theo Luật Việc làm 2025, có hiệu lực từ ngày 01/05/2026, gồm: mở rộng đối tượng tham gia, điều chỉnh chế độ bảo hiểm, trần trợ cấp tối đa, điều kiện hưởng trợ cấp, bổ sung hỗ trợ người lao động cao tuổi, hỗ trợ đào tạo nghề cho người mất việc, và rút ngắn thời gian nhận trợ cấp thất nghiệp.","Văn bản thông tin về các quy định mới của Luật Việc làm 2025 (có hiệu lực từ 01/05/2026), bao gồm: mở rộng đối tượng đóng bảo hiểm thất nghiệp (hợp đồng từ 1 tháng, người quản lý doanh nghiệp); bổ sung chế độ hỗ trợ linh hoạt khi có khủng hoảng; xác định trần trợ cấp tối đa là 5 lần mức lương tối thiểu vùng; thay đổi điều kiện thời gian đóng đối với hợp đồng ngắn hạn; quy định rõ cơ chế tạm dừng/chấm dứt trợ cấp khi không thông báo tìm việc; bổ sung chính sách cho lao động cao tuổi; mở rộng hỗ trợ đào tạo nghề cho người không hưởng trợ cấp và rút ngắn thời gian nhận trợ cấp xuống ngày làm việc thứ 11.","Văn bản hướng dẫn các quy định mới của Luật Việc làm 2025, có hiệu lực từ 01/05/2026, bao gồm: mở rộng đối tượng tham gia bảo hiểm thất nghiệp (hợp đồng từ 1 tháng, người quản lý doanh nghiệp), điều chỉnh chế độ và trần trợ cấp tối đa 5 lần mức lương tối thiểu vùng, thay đổi điều kiện hưởng và thời gian đóng với hợp đồng ngắn hạn, quy định cơ chế tạm dừng/chấm dứt trợ cấp khi không thông báo tìm việc, bổ sung hỗ trợ người lao động cao tuổi, mở rộng hỗ trợ đào tạo nghề cho người mất việc hoặc không hưởng trợ cấp, và rút ngắn thời gian nhận trợ cấp xuống ngày làm việc thứ 11.","The document provides guidance on the new provisions of the 2025 Employment Law, effective from May 1, 2026, including: expanding unemployment insurance coverage (contracts from 1 month, business managers), adjusting benefits and capping allowances at 5 times the regional minimum wage, changing eligibility and contribution periods for short-term contracts, stipulating the suspension/termination of benefits if job-seeking is not reported, adding support for older workers, extending vocational training support for unemployed or non-beneficiaries, and shortening the waiting period for benefits to the 11th working day."
https://www.youtube.com/watch?v=wv-ddja76tU,"Nghị định 374/2025 quy định mức hưởng và cách tính tháng hưởng trợ cấp thất nghiệp cho người lao động, bao gồm mức hưởng hàng tháng bằng 60% lương bình quân 6 tháng trước khi thất nghiệp, quy định về gián đoạn đóng bảo hiểm và mức hưởng tối đa không quá 5 lần mức lương tối thiểu vùng. Tháng hưởng được tính theo tháng dương lịch, bắt đầu từ ngày nhận trợ cấp.","Nghị định 374/2025 quy định mức hưởng trợ cấp thất nghiệp hằng tháng bằng 60% mức lương bình quân của 6 tháng liền kề đóng bảo hiểm thất nghiệp trước khi thất nghiệp; trường hợp gián đoạn thì tính bình quân lương 6 tháng đóng trước khi chấm dứt hợp đồng. Mức hưởng tối đa không quá 5 lần mức lương tối thiểu vùng tại thời điểm chấm dứt hợp đồng. Tháng hưởng tính theo tháng dương lịch, bắt đầu từ ngày hưởng đến ngày đó của tháng sau trừ một ngày (hoặc ngày cuối cùng nếu tháng sau không có ngày tương ứng).","Nghị định 374/2025 quy định trợ cấp thất nghiệp bằng 60% lương bình quân 6 tháng đóng bảo hiểm thất nghiệp trước khi thất nghiệp, tính theo tháng dương lịch từ ngày nhận trợ cấp, mức hưởng tối đa không quá 5 lần lương tối thiểu vùng; trường hợp gián đoạn đóng bảo hiểm, tính bình quân lương 6 tháng trước khi chấm dứt hợp đồng.","Decree 374/2025 stipulates that unemployment benefits are 60% of the average salary of the 6 months of unemployment insurance contributions before unemployment, calculated by calendar month from the date of receiving benefits, with a maximum of 5 times the regional minimum wage; in case of contribution gaps, the average salary of the 6 months before contract termination is used."
https://www.youtube.com/watch?v=nS8fWKAtq0g,"Nghị định 372/2025/NĐ-CP bổ sung và sửa đổi quy định về hoạt động đưa người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng, bao gồm rút ngắn thời gian xử lý hồ sơ giấy phép hoạt động từ 10 xuống 7 ngày, quy định thông báo đáp ứng điều kiện thị trường, ngành nghề và danh sách người lao động dự kiến đi làm việc ở nước ngoài qua hệ thống trực tuyến. Bộ Nội vụ xác nhận thông báo trong 3 ngày làm việc, trường hợp sự cố có thể nộp bản giấy.","Nghị định 372/2025/NĐ-CP sửa đổi quy định về đưa người lao động Việt Nam đi làm việc ở nước ngoài: rút ngắn thời gian xử lý hồ sơ đổi giấy phép hoạt động từ 10 ngày xuống 7 ngày; yêu cầu thông báo trực tuyến về việc đáp ứng điều kiện thị trường Nhật Bản, Đài Loan, Trung Quốc và nghề hộ lý trước khi thực hiện; bổ sung quy định thông báo trực tuyến danh sách lao động dự kiến đi làm việc ở nước ngoài để Bộ Nội vụ xác nhận trong 03 ngày làm việc (nộp bản giấy nếu hệ thống gặp sự cố).","Nghị định 372/2025/NĐ-CP sửa đổi, bổ sung quy định đưa người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng, rút ngắn thời gian xử lý hồ sơ giấy phép hoạt động từ 10 xuống 7 ngày, yêu cầu thông báo trực tuyến về việc đáp ứng điều kiện thị trường, ngành nghề (Nhật Bản, Đài Loan, Trung Quốc, nghề hộ lý) và danh sách lao động dự kiến; Bộ Nội vụ xác nhận trong 3 ngày làm việc, nộp bản giấy nếu hệ thống gặp sự cố.","Decree 372/2025/ND-CP amends and supplements regulations on sending Vietnamese workers abroad under contracts, reducing the processing time for work permit applications from 10 to 7 days, requiring online notification of market and occupational eligibility (Japan, Taiwan, China, nursing) and the list of prospective workers; the Ministry of Home Affairs confirms within 3 working days, with paper submission if the system fails."
https://www.youtube.com/watch?v=wv-ddja76tU,"Nghị định 374/2025/NĐ-CP quy định mức và cách tính tháng hưởng trợ cấp thất nghiệp cho người lao động, bao gồm mức hưởng hàng tháng bằng 60% bình quân lương 6 tháng liền kề, quy định mức tối đa không quá 5 lần mức lương tối thiểu vùng, cách tính khi có gián đoạn đóng bảo hiểm và phương pháp xác định tháng hưởng theo tháng dương lịch.","Nghị định 374/2025 quy định mức hưởng trợ cấp thất nghiệp hằng tháng bằng 60% mức lương bình quân của 06 tháng liền kề đóng bảo hiểm thất nghiệp trước khi thất nghiệp (hoặc bình quân 06 tháng đóng trước khi chấm dứt hợp đồng nếu có gián đoạn), tối đa không quá 05 lần mức lương tối thiểu vùng tại thời điểm chấm dứt hợp đồng; tháng hưởng tính theo tháng dương lịch, từ ngày bắt đầu hưởng đến ngày đó của tháng sau trừ 01 ngày (hoặc ngày cuối tháng nếu không có ngày tương ứng).","Nghị định 374/2025/NĐ-CP quy định mức hưởng trợ cấp thất nghiệp hàng tháng bằng 60% bình quân lương 6 tháng liền kề trước khi thất nghiệp (hoặc trước khi chấm dứt hợp đồng nếu có gián đoạn đóng bảo hiểm), tối đa không quá 5 lần mức lương tối thiểu vùng; tháng hưởng được tính theo tháng dương lịch từ ngày bắt đầu hưởng đến ngày tương ứng của tháng sau trừ 1 ngày, hoặc ngày cuối tháng nếu không có ngày tương ứng.","Decree 374/2025/ND-CP stipulates that the monthly unemployment benefit is 60% of the average salary of the 6 consecutive months prior to unemployment (or prior to contract termination if there is an interruption in contributions), capped at 5 times the regional minimum wage; the benefit month is calculated according to the calendar month from the start date to the corresponding day of the following month minus one day, or the last day of the month if there is no corresponding day."
https://www.youtube.com/watch?v=qsuK7fM3HXc&t=2s,"Luật Việc làm 2025 quy định chi tiết các chế độ bảo hiểm thất nghiệp từ ngày 01/05/2026, bao gồm tư vấn, giới thiệu việc làm, hỗ trợ đào tạo nâng cao kỹ năng nghề, trợ cấp thất nghiệp và hỗ trợ người sử dụng lao động đào tạo để duy trì việc làm. Luật cũng bổ sung cơ chế hỗ trợ trong trường hợp khủng hoảng, thiên tai, dịch bệnh hoặc suy thoái kinh tế, khác với quy định tại Luật Việc làm 2013.","Luật Việc làm 2025 quy định các chế độ bảo hiểm thất nghiệp từ ngày 01/05/2026 gồm: tư vấn, giới thiệu việc làm; hỗ trợ người lao động đào tạo, nâng cao trình độ kỹ năng nghề; trợ cấp thất nghiệp; và hỗ trợ người sử dụng lao động đào tạo, bồi dưỡng nâng cao kỹ năng nghề để duy trì việc làm. Đặc biệt, Luật bổ sung cơ chế linh hoạt cho phép Chính phủ quy định giảm mức đóng hoặc hỗ trợ bằng tiền/hình thức khác trong các trường hợp khẩn cấp như khủng hoảng kinh tế, thiên tai, hỏa hoạn, địch họa hoặc dịch bệnh nguy hiểm.","Luật Việc làm 2025, có hiệu lực từ ngày 01/05/2026, quy định các chế độ bảo hiểm thất nghiệp bao gồm tư vấn và giới thiệu việc làm, hỗ trợ đào tạo nâng cao kỹ năng nghề cho người lao động, trợ cấp thất nghiệp, và hỗ trợ người sử dụng lao động đào tạo để duy trì việc làm, đồng thời bổ sung cơ chế linh hoạt trong các trường hợp khẩn cấp như khủng hoảng kinh tế, thiên tai, hỏa hoạn, dịch bệnh hoặc địch họa.","The Employment Law 2025, effective from May 1, 2026, stipulates unemployment insurance benefits including employment counseling and job placement, support for vocational skills training for employees, unemployment allowance, and support for employers to train and maintain employment, while adding a flexible mechanism for emergencies such as economic crises, natural disasters, fires, epidemics, or hostilities."
https://www.youtube.com/watch?v=2rMafqS2jcE,"Luật Việc làm 2025 và Nghị quyết số 21/2025/HĐND tỉnh Vĩnh Long quy định sửa đổi, bổ sung chính sách bảo hiểm thất nghiệp, mở rộng đối tượng tham gia, nâng mức hỗ trợ và rút ngắn thời gian giải quyết hồ sơ. Ngoài ra, hỗ trợ cụ thể cho trẻ em và giáo viên mầm non tại các cơ sở dân lập, tư thục ở nơi có nhiều lao động, nhằm giảm khó khăn, duy trì việc làm và đảm bảo quyền lợi cho người lao động và giáo viên.","Văn bản thông tin về Luật Việc làm 2025 (có hiệu lực từ 01/05/2026) với các điểm mới như: mở rộng đối tượng đóng bảo hiểm thất nghiệp (hợp đồng từ 1 tháng, người làm việc không trọn thời gian), linh hoạt mức đóng (tối đa 1%, có thể giảm về 0%), rút ngắn thời gian nhận trợ cấp xuống ngày làm việc thứ 11, và bổ sung hỗ trợ tiền ăn khi đào tạo nghề. Đồng thời, tóm tắt Nghị quyết 21/2025/HĐND tỉnh Vĩnh Long về chính sách hỗ trợ trẻ em (160.000 đồng/tháng) và giáo viên mầm non (800.000 đồng/tháng) tại các cơ sở dân lập, tư thục ở nơi có nhiều lao động (khu công nghiệp hoặc xã/phường đông lao động) trên địa bàn tỉnh.","Luật Việc làm 2025 (có hiệu lực từ 01/05/2026) và Nghị quyết số 21/2025/HĐND tỉnh Vĩnh Long sửa đổi, bổ sung chính sách bảo hiểm thất nghiệp, mở rộng đối tượng tham gia, linh hoạt mức đóng (tối đa 1%, có thể giảm về 0%), rút ngắn thời gian giải quyết hồ sơ xuống ngày làm việc thứ 11, bổ sung hỗ trợ tiền ăn khi đào tạo nghề, đồng thời hỗ trợ cụ thể cho trẻ em (160.000 đồng/tháng) và giáo viên mầm non (800.000 đồng/tháng) tại các cơ sở dân lập, tư thục ở nơi có nhiều lao động để giảm khó khăn, duy trì việc làm và đảm bảo quyền lợi người lao động và giáo viên.","The Employment Law 2025 (effective from May 1, 2026) and Resolution No. 21/2025/HĐND of Vinh Long province amend and supplement unemployment insurance policies, expand eligible participants, provide flexible contribution rates (up to 1%, reducible to 0%), shorten claim processing to the 11th working day, add meal support during vocational training, and provide specific support for children (160,000 VND/month) and preschool teachers (800,000 VND/month) in private and non-public institutions in high-labor areas to alleviate difficulties, maintain employment, and ensure workers’ and teachers’ rights."
https://www.youtube.com/watch?v=5DbawXl-id8,"Nghị định 49 và 50/2026 của Chính phủ quy định thẩm quyền, quy trình cấp giấy chứng nhận quyền sử dụng đất (sổ đỏ), sửa đổi bảng giá đất, áp dụng ưu đãi tiền sử dụng đất, và cơ chế tài chính liên quan. Mục tiêu nhằm tháo gỡ khó khăn, thống nhất cách thực hiện và nâng cao hiệu quả thi hành Luật Đất đai 2024 từ năm 2026. Văn bản nêu rõ quyền hạn của UBND cấp tỉnh, xã và văn phòng đăng ký đất đai, cùng các điều kiện, hạn mức, và xử lý vi phạm.","Nghị định 49 và 50/2026/NĐ-CP hướng dẫn Luật Đất đai 2024 với các điểm mới: sắp xếp lại thẩm quyền cấp sổ đỏ gắn với cơ quan có thẩm quyền quyết định giao/thuê đất (UBND cấp tỉnh, xã và Văn phòng đăng ký đất đai); yêu cầu địa phương ban hành quy trình thủ tục mới trước 01/05/2026; quy định 03 trường hợp sửa đổi bảng giá đất và các dự án không áp dụng bảng giá đất; chính sách ưu đãi tiền sử dụng đất khi chuyển mục đích sang đất ở chỉ được áp dụng 01 lần duy nhất từ ngày 01/08/2024; quy định nghĩa vụ hoàn trả ưu đãi khi doanh nghiệp chuyển nhượng/góp vốn và cơ chế khấu trừ tiền bồi thường đã ứng trước.","Nghị định 49 và 50/2026/NĐ-CP hướng dẫn Luật Đất đai 2024, quy định thẩm quyền cấp giấy chứng nhận quyền sử dụng đất (UBND cấp tỉnh, xã, Văn phòng đăng ký đất đai), quy trình thủ tục mới phải ban hành trước 01/05/2026, sửa đổi bảng giá đất, áp dụng ưu đãi tiền sử dụng đất một lần khi chuyển mục đích sang đất ở từ 01/08/2024, cùng các cơ chế tài chính, nghĩa vụ hoàn trả ưu đãi và xử lý vi phạm nhằm thống nhất thực hiện và nâng cao hiệu quả thi hành Luật.","Decrees 49 and 50/2026/ND-CP guide the 2024 Land Law, stipulating authorities for issuing land use right certificates (provincial and communal People's Committees, Land Registration Office), new procedural requirements to be issued by May 1, 2026, amendments to land price tables, a one-time land use fee incentive when converting to residential land from August 1, 2024, along with financial mechanisms, obligation to return incentives, and violation handling, aiming to unify implementation and improve the law’s effectiveness."
https://www.youtube.com/watch?v=MTbAVxnSgQY,"Văn bản quy định về đối tượng tham gia bảo hiểm thất nghiệp năm 2026, bao gồm người lao động theo hợp đồng lao động từ 1 tháng trở lên, các chức danh quản lý trong doanh nghiệp và hợp tác xã, đồng thời nêu rõ trường hợp miễn tham gia như người giúp việc gia đình, người đang hưởng lương hưu hoặc trợ cấp bảo hiểm xã hội.","Văn bản quy định đối tượng tham gia bảo hiểm thất nghiệp theo Luật Việc làm 2025 gồm: người làm việc theo hợp đồng từ đủ 01 tháng trở lên (kể cả thỏa thuận tên gọi khác nhưng có trả công và chịu quản lý), người làm việc không trọn thời gian có mức lương đủ điều kiện đóng BHXH bắt buộc, người quản lý doanh nghiệp, kiểm soát viên, chức danh quản lý hợp tác xã có hưởng lương. Các trường hợp không thuộc đối tượng tham gia gồm: người đang hưởng hoặc đủ điều kiện hưởng lương hưu/trợ cấp hàng tháng, người làm việc theo hợp đồng thử việc và người giúp việc gia đình.","Văn bản quy định đối tượng tham gia bảo hiểm thất nghiệp năm 2026 theo Luật Việc làm 2025, gồm người lao động theo hợp đồng từ 1 tháng trở lên, người làm việc không trọn thời gian có mức lương đủ điều kiện đóng BHXH bắt buộc, người quản lý doanh nghiệp, kiểm soát viên, chức danh quản lý hợp tác xã có hưởng lương, đồng thời nêu rõ các trường hợp miễn tham gia như người đang hưởng hoặc đủ điều kiện hưởng lương hưu/trợ cấp hàng tháng, người làm việc theo hợp đồng thử việc và người giúp việc gia đình.","The document stipulates the eligibility for unemployment insurance in 2026 under the 2025 Employment Law, including employees with contracts of one month or more, part-time workers earning sufficient wages to contribute to mandatory social insurance, enterprise managers, supervisors, and salaried cooperative management positions, while specifying exemptions such as those receiving or eligible for pensions/monthly social benefits, probationary workers, and domestic helpers."
https://www.youtube.com/watch?v=NrM2LJyHJII,"Văn bản thông tin về những thay đổi chính sách bảo hiểm thất nghiệp và bảo hiểm xã hội năm 2026, bao gồm mở rộng hỗ trợ đào tạo nghề, rút ngắn thời gian chờ hưởng trợ cấp thất nghiệp, thống nhất mức hưởng tối đa, mở rộng hỗ trợ người sử dụng lao động, hướng dẫn xử lý bảo hiểm xã hội khi doanh nghiệp giải thể, và đề xuất sửa đổi điều lệ công đoàn Việt Nam, bao gồm đổi tên cơ quan lãnh đạo và điều chỉnh mức đóng đoàn phí.","Văn bản thông tin về Luật Việc làm 2025 (có hiệu lực từ 01/01/2026) với 04 thay đổi lớn về bảo hiểm thất nghiệp: bổ sung hỗ trợ tiền ăn khi đào tạo nghề, rút ngắn thời gian chờ hưởng trợ cấp xuống ngày làm việc thứ 11, thống nhất mức hưởng tối đa bằng 05 lần lương tối thiểu vùng, và mở rộng trường hợp hỗ trợ doanh nghiệp đào tạo để duy trì việc làm. Đồng thời, văn bản giải đáp về bảo hiểm hưu trí bổ sung, hướng dẫn chốt sổ BHXH khi doanh nghiệp giải thể theo Nghị định 158/2025 và các nội dung dự thảo Điều lệ Công đoàn Việt Nam sửa đổi như đổi tên ""Đoàn Chủ tịch"" thành ""Ban Thường vụ"", giảm mức đóng đoàn phí từ 1% xuống 0,5%.","Văn bản Luật Việc làm 2025 (có hiệu lực từ 01/01/2026) quy định các thay đổi về bảo hiểm thất nghiệp gồm hỗ trợ tiền ăn khi đào tạo nghề, rút ngắn thời gian chờ hưởng trợ cấp xuống ngày làm việc thứ 11, thống nhất mức hưởng tối đa bằng 5 lần lương tối thiểu vùng, và mở rộng hỗ trợ doanh nghiệp duy trì việc làm; đồng thời hướng dẫn bảo hiểm xã hội khi doanh nghiệp giải thể theo Nghị định 158/2025 và trình bày dự thảo sửa đổi Điều lệ Công đoàn Việt Nam với việc đổi tên ""Đoàn Chủ tịch"" thành ""Ban Thường vụ"" và giảm mức đóng đoàn phí từ 1% xuống 0,5%.","The 2025 Employment Law (effective from January 1, 2026) stipulates changes to unemployment insurance, including meal support during vocational training, reducing the waiting period for benefits to the 11th working day, standardizing the maximum benefit at five times the regional minimum wage, and expanding support for businesses to maintain employment; it also provides guidance on social insurance when businesses dissolve according to Decree 158/2025 and outlines the draft amendments to the Vietnam Trade Union Charter, renaming the ""Presidium"" to ""Standing Committee"" and reducing union fee contributions from 1% to 0.5%."
https://www.youtube.com/watch?v=W70XjOJYlKM,"Nội dung trình bày các điểm mới của các luật thuế ban hành năm 2025 gồm thuế tiêu thụ đặc biệt, thuế thu nhập cá nhân, thuế giá trị gia tăng, thuế thu nhập doanh nghiệp và luật quản lý thuế, áp dụng từ năm 2026; bao gồm điều chỉnh đối tượng chịu thuế, mức thuế suất, phương pháp tính thuế, ưu đãi thuế, quy định kê khai và quản lý thuế, cũng như thay đổi ngưỡng doanh thu và cơ chế hoàn, miễn, giảm thuế.","Văn bản tổng hợp các điểm mới của 05 sắc thuế áp dụng từ năm 2026: (1) Thuế TTĐB: bổ sung phương pháp tính thuế tuyệt đối (thuốc lá), tăng thuế suất rượu, bia, đưa nước giải khát có đường vào diện chịu thuế; (2) Thuế TNCN: rút gọn biểu thuế lũy tiến còn 5 bậc, nâng mức giảm trừ gia cảnh (bản thân 15,5 triệu, phụ thuộc 6,2 triệu/tháng), nâng ngưỡng doanh thu hộ kinh doanh lên 500 triệu đồng; (3) Thuế GTGT: nâng ngưỡng chịu thuế lên 500 triệu đồng, điều chỉnh danh mục đối tượng không chịu thuế và mức thuế suất 5%, 10%, bổ sung trường hợp hoàn thuế; (4) Thuế TNDN: bổ sung thu nhập miễn thuế, cho phép bù trừ lỗ chuyển nhượng BĐS với hoạt động sản xuất kinh doanh, ưu đãi riêng cho doanh nghiệp nhỏ và vừa; (5) Quản lý thuế: giảm thời hạn khai bổ sung xuống 5 năm, áp dụng cơ chế hoàn/miễn thuế tự động và quản lý rủi ro đối với hộ kinh doanh/thương mại điện tử.","Văn bản tổng hợp các điểm mới của 05 sắc thuế áp dụng từ năm 2026, gồm: Thuế tiêu thụ đặc biệt (bổ sung phương pháp tính thuế tuyệt đối, tăng thuế rượu, bia, đưa nước giải khát có đường vào diện chịu thuế); Thuế thu nhập cá nhân (rút gọn biểu thuế lũy tiến còn 5 bậc, nâng mức giảm trừ gia cảnh, nâng ngưỡng doanh thu hộ kinh doanh lên 500 triệu đồng); Thuế giá trị gia tăng (nâng ngưỡng chịu thuế lên 500 triệu đồng, điều chỉnh danh mục đối tượng không chịu thuế, mức thuế suất 5% và 10%, bổ sung trường hợp hoàn thuế); Thuế thu nhập doanh nghiệp (bổ sung thu nhập miễn thuế, cho phép bù trừ lỗ chuyển nhượng BĐS, ưu đãi cho doanh nghiệp nhỏ và vừa); Quản lý thuế (giảm thời hạn khai bổ sung xuống 5 năm, áp dụng cơ chế hoàn/miễn thuế tự động, quản lý rủi ro với hộ kinh doanh và thương mại điện tử).","The document consolidates the new provisions of five taxes effective from 2026, including: Excise tax (adding absolute tax calculation, increasing alcohol and beer tax, including sugary drinks); Personal income tax (simplifying progressive rates to 5 brackets, increasing personal and dependent deductions, raising household business revenue threshold to 500 million VND); Value-added tax (raising taxable threshold to 500 million VND, adjusting exempt categories, tax rates of 5% and 10%, adding refund cases); Corporate income tax (adding tax-exempt income, allowing real estate loss offset, incentives for small and medium enterprises); Tax administration (reducing supplementary filing period to 5 years, applying automatic refund/exemption, and risk management for household businesses and e-commerce)."
